g,bp_rp
16.27607,1.0341749
16.28164,0.8946991
16.28198,1.2310772
16.283537,1.1228209
16.284334,1.0602989
16.284832,1.6793318
16.286129,0.90056515
16.288385,0.9282923
16.28941,0.88976
16.290674,0.92983437
16.290987,1.0374918
16.292376,0.9052267
16.293877,1.1425524
16.29496,1.1937437
16.295835,1.0203171
16.298822,0.9787531
16.298986,1.3738928
16.29973,1.1246805
16.300938,0.92615795
16.30096,1.0728407
16.302813,1.1333818
16.305296,1.3223076
16.306091,1.2574835
16.309689,1.0376043
16.31614,1.0495005
16.317858,1.2546797
16.318403,1.0856905
16.32023,1.1605701
16.32229,0.95994663
16.324057,1.0543671
16.327158,1.1038303
16.330303,1.3232784
16.330778,1.3273306
16.330786,0.94388676
16.33215,0.8736887
16.33321,0.9265127
16.334976,1.6679363
16.336952,1.482317
16.338633,1.2019157
16.339008,1.550499
16.341078,0.9106245
16.341581,1.0818481
16.342451,1.0059748
16.343115,0.9593086
16.34466,0.92817783
16.344957,1.2912416
16.351389,1.0563755
16.35161,1.6155901
16.351643,0.8890743
16.352335,0.892045
16.35409,0.9563675
16.357332,0.9375267
16.359575,1.2253494
16.360138,1.1370602
16.362637,1.0026798
16.36289,0.94922256
16.36852,0.86962795
16.371323,0.9640684
16.373041,1.2729416
16.37612,1.4809561
16.376427,0.9526367
16.376978,2.0806122
16.378843,1.0838423
16.383743,1.005372
16.385809,0.8861065
16.387772,1.0411501
16.389137,1.6024446
16.389746,1.0951138
16.39214,1.1441183
16.393175,1.0565596
16.39594,1.1480808
16.395956,1.149046
16.396101,1.198492
16.396637,0.9987917
16.398207,0.88683224
16.398716,1.0350809
16.399836,1.2602348
16.401833,1.0517397
16.402178,1.180912
16.40294,0.89796543
16.403114,0.9021778
16.40649,1.4505577
16.406982,1.1942883
16.407787,0.88701725
16.408012,1.0457869
16.412237,1.0908012
16.415342,0.8490515
16.415806,1.0262804
16.416233,0.91214275
16.421228,1.090251
16.423079,1.1000681
16.424437,1.0462904
16.426859,0.9348345
16.428461,1.1509705
16.430244,0.9469013
16.43063,1.1475134
16.432425,2.064744
16.433548,1.3308201
16.434216,0.89455414
16.434439,1.0862665
16.434948,0.9954586
16.435188,1.1350269
16.43566,1.0418739
16.43654,1.4051552
16.43721,0.96572685
16.440247,1.0582294
16.441927,1.4987154
16.442225,0.9769802
16.442638,1.1090689
16.442942,1.4449024
16.442982,1.1270103
16.443312,1.1647406
16.446762,0.89918995
16.44781,1.172576
16.449577,1.295865
16.45443,1.0442696
16.455133,1.4227276
16.455631,0.91551113
16.456802,0.9130268
16.458546,1.0855303
16.459688,1.3489399
16.459972,1.0152826
16.460894,1.0275364
16.461264,0.91721535
16.46289,0.94325256
16.463978,1.3433361
16.464039,0.9528065
16.472345,1.453537
16.474258,1.1522474
16.474304,1.212246
16.474445,0.9049711
16.475275,0.9446907
16.478462,1.2289248
16.479216,1.0056849
16.480658,1.1759882
16.48559,0.94161606
16.48742,1.0772133
16.489374,0.93387127
16.491829,0.9187679
16.492508,1.2814426
16.495054,1.097517
16.495329,0.98693943
16.4964,0.99683285
16.497082,1.4315376
16.49732,0.92280483
16.498825,0.98047924
16.501036,1.0619497
16.502447,0.93799686
16.502567,1.2734127
16.502888,1.3577127
16.50382,1.3487158
16.50633,1.0472145
16.507368,1.3502941
16.510494,1.0167933
16.512823,0.9611435
16.5145,1.3563108
16.519716,1.0218496
16.523254,1.13591
16.52856,1.4693737
16.53302,1.1378288
16.533646,1.02666
16.534662,0.9140425
16.536255,1.0644445
16.536497,0.88697624
16.536583,0.98525524
16.540165,0.9478178
16.540855,1.2597151
16.541908,1.1700115
16.542505,1.0216284
16.544027,1.2827568
16.54873,1.0016356
16.548841,1.0510893
16.549011,1.105381
16.550968,1.0673704
16.552414,1.2105856
16.556427,0.9216385
16.556995,1.3924522
16.557436,1.8799839
16.560602,1.0184984
16.560743,0.98591995
16.560797,0.89972496
16.563805,1.5843534
16.564342,0.9620123
16.56467,0.90280724
16.56481,1.0972881
16.566008,0.9315119
16.56629,1.9477129
16.568295,1.5222969
16.569258,0.89907837
16.56995,1.0524044
16.573954,1.0127144
16.574957,1.7415304
16.575466,1.2120752
16.576107,1.2175932
16.577587,0.9451599
16.57854,1.1103067
16.578665,1.185421
16.57979,1.3210859
16.57987,1.6342916
16.580664,1.3144541
16.582136,1.3219347
16.585308,1.0937996
16.586147,1.6028471
16.586168,1.1426115
16.586805,1.6668863
16.58895,1.0598335
16.589476,1.0377455
16.590626,1.054019
16.593483,0.95966053
16.593767,0.96839523
16.594212,0.9166393
16.59453,1.1882458
16.59722,1.1046524
16.598312,1.1056871
16.598412,1.2920036
16.599348,0.973238
16.600332,0.8925972
16.60082,1.021944
16.602943,0.95946884
16.603989,0.97476006
16.604174,1.6209869
16.604956,1.0168114
16.609863,0.93945694
16.610497,0.9756565
16.611443,1.0889406
16.612247,1.1490822
16.612648,1.2044811
16.613266,1.1469517
16.61477,0.9868393
16.615593,1.0967417
16.615612,1.1821442
16.616047,2.1943226
16.616074,1.055975
16.616398,0.93120575
16.62172,1.1145582
16.622307,1.1366758
16.624329,1.1749201
16.624363,1.0623722
16.631723,1.9932346
16.636093,1.1809378
16.636326,1.0015774
16.636345,1.5011272
16.638512,0.9592838
16.638567,1.2309456
16.642511,1.0832253
16.642656,1.4525652
16.646185,1.0702438
16.646381,0.9933243
