ra,dec,phot_g_mean_mag,bp_rp
250.46068374374312,36.44976529549183,17.214962,0.78984356
250.45903265794107,36.44932749991521,18.298977,
250.4533856790447,36.445496883231165,18.022964,0.7471466
250.44775533434708,36.44805488662912,18.178478,
250.4481162871516,36.44642123008498,17.119638,0.8365841
250.44918076387378,36.4493016604293,18.422739,
250.45974256554007,36.444568169596785,18.480652,
250.4363553262002,36.44171925377355,17.83288,0.75445175
250.4383525427848,36.44933674177352,16.906233,0.82898426
250.4395507586142,36.44667756355895,18.111029,
250.431708802105,36.43832213033412,17.625845,0.7903042
250.44081082817192,36.44944711219081,18.253973,
250.42951810062502,36.44068777475477,16.84334,0.9777098
250.43675575570379,36.451098553988416,17.87267,
250.437612955947,36.45238484473549,18.16271,
250.4291237005842,36.448297894049496,17.7414,
250.43298951194316,36.44990122824339,17.663311,0.67837715
250.43001100406332,36.451821018502365,17.838303,
250.43163690688402,36.45445073124268,15.363534,0.41440296
250.43795104904692,36.44518756346259,17.150196,0.90472317
250.43557001632598,36.44806454925855,17.760027,0.6348982
250.43261644008751,36.44749732995584,16.75939,0.84144974
250.42674572129835,36.446446278354635,18.008425,
250.4312658580856,36.443530357973195,18.18537,
250.43079662596853,36.45058845494337,17.772919,
250.43323584785603,36.43696500449146,18.216116,0.7613411
250.44610628779955,36.45398280966427,15.260782,0.954216
250.44743137505452,36.450429962379694,18.474064,
250.44300249954938,36.44981877560046,16.269745,0.8994436
250.44218810989517,36.455754053667334,16.455734,
250.4385689449597,36.4580093213139,17.67335,
250.44495703088737,36.46157821089511,17.731688,0.69385624
250.44687678633093,36.46679015955731,16.839178,0.9082422
250.44004677740602,36.46117537916258,16.704731,
250.43653383210273,36.460463057263546,17.828989,0.64711475
250.44346272438904,36.46649967916858,16.82923,0.66811466
250.43924631184493,36.46405020628811,17.611893,
250.43635242139203,36.46142080315364,17.968008,
250.44429477470462,36.469160010404316,18.354193,
250.43783849707134,36.459067771053405,18.067045,
250.44699841449955,36.451157734271064,18.085625,0.84500694
250.4362753616302,36.45736307826434,18.039232,
250.44894025039008,36.463820112199286,17.867981,0.7956734
250.44652910131194,36.46214455605214,12.155948,1.4530611
250.44336299879328,36.44893006265605,17.184332,
250.44500259367445,36.46282419132051,18.023642,
250.44039553255152,36.45900773649456,17.88209,
250.44030805878774,36.461199900949815,15.642306,0.92591286
250.4403058711649,36.46188693787963,18.081995,
250.35283001288408,36.38185369918012,17.771452,0.73810005
250.35508025716075,36.38403638735658,18.468914,0.67385674
250.3855267740217,36.41181442715538,11.726887,1.5655317
250.37763954320712,36.41098769977969,17.018122,0.84233665
250.38713718664482,36.42433336287837,18.205698,0.7638378
250.36582358117312,36.4325315507371,18.34004,0.6266327
250.38776944612627,36.43542209802489,17.179379,0.8710232
250.3817963713371,36.44042867634435,18.473366,0.6060066
250.37570240183794,36.4371280474341,14.949785,0.19453144
250.32167390721128,36.418787108727884,18.014034,0.7148361
250.32801824962868,36.42485433451871,18.217928,0.6997738
250.32082531555247,36.43000822338797,13.251414,1.2335472
250.33760398716888,36.43384095111026,18.373821,0.681715
250.33125480013368,36.44277346644573,14.290439,1.0718317
250.3516513462637,36.43937320029502,17.788456,0.73771477
250.36737443550587,36.44809994893548,17.110561,
250.36377477856536,36.44216271688292,16.446117,0.9273529
250.34263053101373,36.44819138326084,17.519348,0.7999344
250.35055170290536,36.4458666994747,18.079777,0.6518898
250.34135822697914,36.44127717777715,18.1896,0.6726494
250.35292705504904,36.45598425875413,18.050808,0.6539917
250.36145709852283,36.459833377402916,16.110392,0.9212074
250.3550951730724,36.456484272211014,18.168514,0.67725754
250.35605402411886,36.46859406249402,16.138206,-0.13179016
250.40262784372987,36.44317359714225,11.35907,1.7124529
250.40308589277117,36.4435840214082,18.128107,
250.4052056474812,36.43233462714572,18.15729,
250.40144596535717,36.43271657529692,18.28379,
