nombre,alt,ra_grados,dec_grados,re_arcsec,razon_ejes,pa_grados,mag_v,sersic_n,frac_bulbo,polvo,n_medido
NGC 1533,ESO 157- 3,62.46417,-56.12056,32.52,0.851,151,10.8,4.0,1.0,0,6.6
NGC 1532,ESO 359- 27,63.02292,-32.87444,173.57,0.263,33,9.9,1.0,0.3,1,4.56
NGC 1543,ESO 118- 10,63.18,-57.73722,124.27,0.575,93,10.56,4.0,0.6,0,0.0
NGC 1537,ESO 420- 12,63.42083,-31.64611,86.02,0.661,98,10.57,4.0,0.6,0,0.0
NGC 1546,ESO 157- 12,63.65292,-56.06083,178.08,0.55,147,10.9,4.0,0.6,0,1.65
NGC 1549,ESO 157- 16,63.93792,-55.59194,49.79,0.832,135,9.82,4.0,1.0,0,0.0
NGC 1553,ESO 157- 17,64.04333,-55.78083,226.27,0.631,150,9.38,4.0,0.6,0,3.48
IC 2056,ESO 118- 16,64.09833,-60.20611,15.17,0.832,8,11.93,1.0,0.15,0,0.88
NGC 1559,ESO 84- 10,64.40583,-62.78444,66.27,0.575,64,10.45,1.0,0.08,0,0.62
NGC 1566,ESO 157- 20,65.00167,-54.93833,83.39,0.794,60,9.58,1.0,0.15,0,3.63
NGC 1567,ESO 202- 10,65.28625,-48.25444,20.75,0.955,0,11.27,4.0,1.0,0,0.0
,ESO 550- 24,65.30583,-21.84417,102.55,0.38,132,12.12,1.0,0.08,0,1.28
NGC 1574,ESO 157- 22,65.49625,-56.97389,60.9,0.912,35,10.46,4.0,0.6,0,0.0
NGC 1530,UGC 3013,65.86875,75.29722,86.45,0.525,0,11.5,1.0,0.3,0,0.0
NGC 1596,ESO 157- 31,66.9075,-55.02694,19.11,0.257,20,11.2,4.0,0.6,0,3.52
